CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;B015;B016;B017;B018;B019;B031_01;B032_01;B033_01;B034_01;B035_01;B038_01;B039_01;B040_01;B041_01;B042_01;B043_01;B043_02;B043_03;B043_04;B043_05;MI02_01;MI02_02;MI02_03;MI02_04;MI02_05;MI02_06;MI02_07;MI02_08;MI02_09;MI02_10;MF02_01;MF02_02;MF02_03;MF02_04;MF02_05;MF02_06;MF02_07;MF02_08;MF02_09;MF02_10;MF02_11;MF02_12;MF02_13;MF02_14;MF02_15;MF02_16;MF03_01;MF03_02;MF03_03;MF03_04;MF03_05;MF03_06;MF03_07;MF03_08;MF03_09;MF03_10;MF03_11;MF03_12;MF03_13;MF03_14;MF03_15;MF03_16;ZU02_01;ZU03_01;ZU04_01;ZU05_01;ZU06;ZU07;ZU08_01;GN01_01;GN02_01;GN03_01;GN04_01;GN05_01;VA01_01;DE01_01;DE02;DE03;DE04;DE05;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE
145;FOWE1O;;base;interview;29.01.15 08:06;7;2;5;2;1;61;72;83;7;5;10;10;1;10;10;;;;;;6;4;1;1;4;4;3;4;2;5;1;1;1;1;3;1;1;1;1;1;2;5;1;1;1;1;2;6;4;3;1;6;5;4;4;1;3;5;5;4;2;1;1;50;81;7;3;6;;gierig;Idealist;fair;inkonsequent;Dumm;verdeckt;34;2;2;-9;1;1;21;21;9;2;10;32;42
146;7GCUXF;;base;interview;29.01.15 08:07;-9;;;;;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;offen;;;;;;0;7;7;100;100;530;90;620
147;TP1CKK;;base;interview;29.01.15 08:09;3;1;7;5;1;20;16;80;1;50;10;1;2;10;0;;;;;;7;7;1;1;5;4;3;5;5;7;6;6;2;1;4;3;6;6;6;3;3;6;6;4;3;4;6;6;3;3;3;6;6;6;5;2;2;6;6;4;3;2;2;15;-1;4;3;3;;Egoisten;Verlierer;Vernünftig;Arschloch;Dummkopf;offen;45;2;1;6;1;1;21;21;9;3;14;23;37
148;RT13B6;;base;interview;29.01.15 08:10;4;3;5;4;3;41;75;62;41;59;7;1;2;8;2;;0;;;1;7;7;4;1;5;5;3;4;5;7;6;6;4;2;4;2;6;6;6;2;3;6;6;5;4;2;5;6;3;3;2;6;6;6;5;1;2;6;4;4;5;2;-9;3;79;6;3;2;;egoistisch;altruistisch;probabilistisch;hinterhältig;unentschieden postitiv;verdeckt;47;2;2;-9;1;1;21;21;8;3;14;22;36
150;96BF09;;base;interview;29.01.15 08:18;7;2;3;2;2;1;64;50;1;30;10;0;3;10;0;;;;;;7;6;2;1;3;4;1;3;3;7;4;3;1;2;4;2;5;5;4;2;2;6;5;2;3;1;6;5;3;2;1;6;5;6;4;1;1;3;4;4;2;1;1;50;64;5;3;7;"Die Frage, ob die Entscheidung für 60-20, 20-60, Münzwurf etc. ""gut"" ist, ist meiner Meinung nach nicht ausreichend klar formuliert. Ist hier gemeint ""moralisch gut"" oder ""gut"" im Sinne von ""wirtschaftlich sinnvoll"" (für denjenigen, der sie trifft). Wenn jemand nur seinen Gewinn maximieren möchte, ist sicherlich 60-20 die beste Entscheidung.
Nach dem Rest der Umfrage bin ich mir relativ sicher, dass ""moralisch gut"" gemeint war (so habe ich auch geantwortet), aber zum Zeitpunkt der Frage war ich mir nicht ganz sicher.";kapitalistisch;altruistisch;gerecht;irrational;irrational;verdeckt;24;2;1;1;1;1;21;21;6;1;6;28;33
151;ZUAKVF;;base;interview;29.01.15 08:19;7;6;4;3;3;15;67;48;12;70;5;5;5;5;5;;;;;;7;5;2;1;5;3;2;6;6;6;6;4;2;2;1;1;6;5;5;1;1;6;5;4;2;2;3;4;6;2;1;6;5;5;2;2;1;6;2;5;1;1;-9;100;51;-9;3;1;;E;M;I;E+;M+;offen;60;2;2;-9;1;1;21;21;11;4;23;35;58
154;4HFWZY;;base;interview;29.01.15 08:22;-9;;;;;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;verdeckt;;;;;;0;7;7;100;100;530;35;565
155;PJMOE2;;base;interview;29.01.15 08:32;7;2;2;3;2;14;91;101;1;94;8;3;1;10;2;;;;;;7;7;1;1;6;5;1;7;7;7;2;5;1;3;5;1;6;6;6;5;5;6;4;4;3;4;5;6;2;5;1;5;6;6;2;1;2;2;1;5;2;2;7;37;100;7;3;2;"Die Frage nach der Wahl ist schwierig, da die derzeitigen Möglichkeiten eher der Wahl zwischen Pest und Ebola (um bei aktuellen Ereignissen zu bleiben) gleichen. Es ist also wahrlich nur ein ""Wahl-Schein"".
Sollten die Ergebnisse dieser Umfrage vorliegen würden sie mich sehr interessieren und ich würde mich über diesbezügliche Informationen freuen.";ich orientiert;offenherzig;spontan;ich bezogen;offenherzig;verdeckt;24;2;1;2;1;1;21;21;6;1;6;7;13
157;M9YRKZ;;base;interview;29.01.15 08:34;5;3;4;3;1;39;75;54;20;26;5;0;2;10;1;;;;;;6;5;3;1;3;3;3;2;3;4;5;4;2;5;6;2;6;5;6;3;6;6;6;4;5;2;5;5;4;6;4;6;6;5;4;4;4;6;5;5;4;2;5;90;57;6;3;1;;Egoist;großzügig;entscheidungsunfreudig;hinterlistig;komisch;offen;20;1;1;1;1;1;21;21;8;1;8;1;9
159;Q45A98;;base;interview;29.01.15 08:37;6;2;3;2;2;55;89;24;1;13;4;0;8;10;2;;;;;;7;7;1;1;3;4;1;2;1;6;4;5;2;1;4;1;5;5;4;2;1;6;6;4;4;3;4;5;3;3;1;5;5;5;4;1;1;5;1;4;3;1;5;70;89;3;3;3;Spannende Umfrage. Besonders die Dilemmafrage mit den Arbeitern hat es in sich.;Bewusst egoistisch;Bewusst sozial;Verantwortungsscheu;Gehemmt egoistisch;Gehemmt sozial;offen;61;2;2;-9;1;1;21;21;8;2;8;2;10
